uuid,symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,leverage,stop_dist,pnl_usd,pnl_r,fees,hold,exit_reason,tp1,equity_after,btc_aligned,conf,conf_count,mae,mfe,quality,is_ny,pyramid_adds,sector,label
d1607724-bc84-458d-b320-9dc31c8aeaa0,NMRUSDT,LONG,2026-02-02T00:44:59.999000+00:00,2026-02-02T01:39:59.999000+00:00,8.855771,8.941211,1654.323782,2,0.174186,134.6902,0.5008,13.2489,11,expansion_decay,0,10128.1,1,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.3546,0.7936,0.3136,False,0,OTHER,regime_sizing
41857b91-4ec2-4872-9d18-a4d79a8d4ca0,NMRUSDT,LONG,2026-02-02T06:44:59.999000+00:00,2026-02-02T07:34:59.999000+00:00,8.963792,9.107178,1597.740018,2,0.277294,222.5453,0.5237,12.9927,10,expansion_decay,0,10344.2,1,"{'breakout': False, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",4,-0.2625,0.9348,0.5624,False,0,OTHER,regime_sizing
915933a9-b027-4664-ac33-431d5f06feec,NMRUSDT,LONG,2026-02-02T15:39:59.999000+00:00,2026-02-02T17:44:59.999000+00:00,9.35287,9.526201,2756.158639,3,0.135473,465.9119,1.2935,23.4152,25,vol_trail,0,10798.51,1,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.1393,2.3557,0.2344,True,0,OTHER,regime_sizing
28c20aa5-bf3e-40f0-8e58-77b3784aa958,NMRUSDT,LONG,2026-02-02T18:54:59.999000+00:00,2026-02-02T20:09:59.999000+00:00,9.790958,9.613514,1171.269978,2,0.175521,-212.9015,-1.0,10.2275,15,stop_loss,0,10580.45,0,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.2019,0.1085,0.2564,True,0,OTHER,regime_sizing
869c7ac4-62ce-46c5-ba74-b6d8a59b871d,NMRUSDT,LONG,2026-02-02T21:59:59.999000+00:00,2026-02-02T22:24:59.999000+00:00,9.816963,9.670036,3270.404851,4,0.144992,-494.7414,-1.0,28.6787,5,stop_loss,0,10071.26,1,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.1033,0.1451,0.3313,True,0,OTHER,regime_sizing
a52f2715-8b8d-4e43-a351-5f45feedf077,ETHUSDT,LONG,2026-02-06T01:49:59.999000+00:00,2026-02-06T05:54:59.999000+00:00,1939.077738,1946.631575,5.653821,2,60.970989,37.7554,0.1303,9.8861,49,vol_trail,0,10104.08,1,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.9919,0.5864,0.4038,False,0,OTHER,regime_sizing
8e1f98ae-cf90-4017-b898-4c53f67d3049,ETHUSDT,LONG,2026-02-06T13:14:59.999000+00:00,2026-02-06T14:49:59.999000+00:00,1942.218366,1982.85335,24.28343,5,23.564814,1206.6963,1.7412,32.0575,19,expansion_decay,1,10565.4,1,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.4336,2.531,0.4626,True,0,OTHER,regime_sizing
ae1483e3-d9d7-41fe-ada3-4112bcba595f,ETHUSDT,LONG,2026-02-06T16:24:59.999000+00:00,2026-02-06T16:59:59.999000+00:00,2013.25257,2034.533012,14.940389,3,36.425037,304.2596,0.5954,27.2342,7,expansion_decay,0,10856.11,1,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.114,0.9334,0.4065,True,0,OTHER,regime_sizing
c05b7b23-ec2b-48e0-b049-ab3e3c90e4a2,ETHUSDT,LONG,2026-02-06T23:29:59.999000+00:00,2026-02-07T00:39:59.999000+00:00,2069.833884,2038.725595,5.405693,2,30.700462,-173.1212,-1.0,9.9943,14,stop_loss,0,10677.95,0,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.1014,0.2793,0.3429,False,0,OTHER,regime_sizing
2d8ce2b6-b732-448d-9c13-61dfe65a8a9b,XLMUSDT,LONG,2026-02-07T01:49:59.999000+00:00,2026-02-07T02:49:59.999000+00:00,0.163593,0.161578,185820.449735,3,0.001983,-387.9137,-1.0,27.3227,12,stop_loss,0,10276.22,1,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.0404,0.039,0.4139,False,0,L1,regime_sizing
69857e77-29df-486b-b754-3884eacf2f29,XLMUSDT,LONG,2026-02-07T06:24:59.999000+00:00,2026-02-07T06:54:59.999000+00:00,0.163453,0.161693,102753.705299,2,0.001727,-188.2397,-1.0,15.0345,6,stop_loss,0,10076.4,0,"{'breakout': False, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",4,-1.0265,0.3691,0.4089,False,0,L1,regime_sizing
059c63b0-c6c0-4adb-9d1d-4a34b31b84c0,CHZUSDT,LONG,2026-02-07T06:34:59.999000+00:00,2026-02-07T06:59:59.999000+00:00,0.042458,0.041853,210626.344999,1,0.000597,-131.5317,-1.0,7.9912,5,stop_loss,0,9944.87,0,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.6048,0.17,0.2417,False,0,OTHER,regime_sizing
